Name,Industry,Size,Postcode,LADCD
"Millmead Optical Group Ltd","Other manufacturing",50-249,l31 8BU,E08000014
"Walker & Sloan Ltd","Employment placement & HR",1-9,BS32 4TD,E06000025
"Heavenly Group Ltd","Advertising & market research",10-49,WC1X 8HB,E09000007
"Valiant Design Ltd","Other professional, scientific & tech",10-49,GU10 1PL,E07000216
"Baker Brown","Architecture design & planning",1-9,BN84SW,E07000063
"Epoch Design Ltd","Advertising & market research",50-249,BS1 4LH,E06000023
"Interaction","Other install & construction",10-49,BA1 2FX,E06000022
"THE PACK","Food products",1-9,EC2A 4NE,E09000012
"Atomic Smash","Computer programming services",10-49,BS1 6QA,E06000023
"Nous","Other financial services",10-49,EC1R 3BW,E09000019
"DART","Architecture design & planning",1-9,TR10 8AE,E06000052
"Novoda","Software publishing and SaaS platforms",10-49,EC2A 4N,
"1st for EPA","Management  consultant - for-profits",1-9,TS8 9XH,E06000002
"Alkimi Exchange Ltd","Advertising & market research",10-49,SE1 3ER,E09000028
"Clifton Coffee Roasters","Beverages",10-49,BS11 9FB,E06000023
"Swoop Travel Ltd","Travel agency & related",50-249,BS8 4PJ,E06000023
"ARTAH","Personal care products",1-9,W1U6JQ,E09000033
"Churchman Thornhill Finch","Architecture design & planning",10-49,SE11 4DS,E09000022
"Citizens of Soil","Agricultural Processing",1-9,EC2A 4NE,E09000012
"LP Food at Work ( Leeming Pilkington )","Restaurants & food service",10-49,N1 5PH,E09000012
"Block Design","Other manufacturing",1-9,PL12 5NX,E06000052
"Green Sense Events","Environmental consulting",0,BA5 1LQ,E06000066
"DRPG","Arts & entertainment",250-999,DY10 4EU,E07000238
"Good Small Farms Ltd","Mixed Farming",1-9,GL6 7QN,E07000082
"purpose AMPLIFIED","Management  consultant - for-profits",0,SO23 7QL,E07000094
"Dashly Ltd","Other financial services",10-49,EC1M 6DX,E09000019
"Amplify","Advertising & market research",50-249,EC2A 4JU,E09000019
"Bare Kind","Apparel",1-9,ME18 5LQ,E07000115
"Bliss","Web portals",10-49,EC2A 4NF,E09000012
"When in Rome Wine Ltd","Beverages",1-9,GL5 2GQ,E07000082
"This Is Silk","Personal care products",1-9,GL75SF,E07000079
"Datapharm Ltd","Software publishing and SaaS platforms",10-49,KT22 7TW,E07000210
"Vegware","Other/general wholesale trade",50-249,EH3 7JF,S12000036
"Pangea Impact Investments","Investment advising",0,TQ7 3HH,E07000044
"Margaret London Ltd","Other business support",10-49,EC2A 3EY,E09000012
"Modus Furniture","Furniture",50-249,TA20 4BZ,E06000066
"forpeople limited","Spec design (non-building)",50-249,SW90FJ,E09000022
"Furthr","Other personal services",1-9,EC1V 2NX,E09000019
"Seed","Advertising & market research",10-49,BN1 1UF,E06000043
"Balanced Energy","Other business support",0,TA6 3DT,E06000066
"Carley Coaching Ltd","Other human health",0,CT4 7JD,E07000106
"The SHARP Agency","Advertising & market research",10-49,HD1 3AG,E08000034
"Sustain Homes Limited","Other renewable energy installation",1-9,WD24 7XA,E07000103
"Katapult","Arts & entertainment",10-49,DE22 3AD,E06000015
"Giant Digital Limited","Web portals",10-49,WC2A 2JR,E09000033
"Sustainable Energy First","Other professional, scientific & tech",50-249,FY8 2NA,E07000119
"OpenCorporates","Other info service activities",10-49,N3 1LF,E09000003
"Perkier Foods ltd","Food products",1-9,SL1 4DX,E06000039
"Eight Days A Week Print Solutions","Printing & recorded media",10-49,NG8 4GP,E06000018
"ECI Partners","Equity investing - Developed Markets",10-49,WC2R 0DT,E09000033
"Interact DC Ltd","Other info service activities",1-9,HG2 8PB,E06000065
"Scott Logic Limited","Computer programming services",250-999,NE4 5BZ,E08000021
"Stag Barber Co.","Hairdressing & other beauty services",10-49,EH3 9DS,S12000036
"Hermetica Black Limited","Other professional, scientific & tech",10-49,E1 6DY,E09000030
"Leader And Team","Management  consultant - for-profits",0,GU15 2DJ,E07000214
"Climate Explorers CIC","Film, TV & music production",0,AL4 0PP,E07000240
"Trading for Development","Other/general wholesale trade",0,OX2-6BQ,E07000178
"TaperedPlus Ltd","Other/general wholesale trade",10-49,TS183DB,E06000004
"Blue Stag","Mobile applications",10-49,CF10 5LS,W06000015
"Altruistiq (Expanding Circle Ltd)","Software publishing and SaaS platforms",50-249,EC2Y 5EB,E09000001
"myTamarin (Tamarin Group LTD)","Other human health",10-49,NW1 8NJ,E09000007
"Groundsure Ltd","Legal activities",50-249,BN1 1HW,E06000043
"Unrooted Drinks","Beverages",1-9,W1W 8AZ,E09000033
"North Uist Distillery","Beverages",10-49,HS7 5LU,S12000013
"Triple Bottom Line Accounting Ltd","Accounting & auditing",10-49,NR4 7TJ,E07000148
"Shalohm Ltd t/a Plenaire","Personal care products",0,SW62AP,E09000013
"Give Us This Day T/A Lettice Events","Event catering & related",10-49,SE114AA,E09000022
"Lemongrass Marketing","Other personal services",10-49,OX27 8BL,E07000177
"Shoal Limited","Other financial services",1-9,EC2V 5DD,E09000001
"Blooming Haus","Other retail sale",10-49,SW8 4AS,E09000032
"Don't Panic London","Advertising & market research",10-49,E1 6JJ,E09000012
"Spicerack","Web portals",10-49,BS8 1HP,E06000023
"HN Communications","Social networks & info sharing",0,NN6 9QN,E06000062
"Global City Futures","Management  consultant - for-profits",1-9,EX1 2JY,E07000041
"Matrix Booking Limited","Software publishing and SaaS platforms",10-49,W1D 3QL,E09000033
"Key Production (London) Ltd","Arts & entertainment",50-249,N7 9AH,E09000019
"OTK Lifestyle Limited","Apparel",0,W11 2PB,E09000020
"Influencer","Advertising & market research",50-249,W1F 7JT,E09000033
"Papillon Dartmoor Distillery Ltd","Beverages",0,TQ13 8NU,E07000045
"Becky Holland & Partners Ltd (BH&P)","Advertising & market research",1-9,RG7 1JQ,E06000041
"BetterPoints Ltd","Other info service activities",10-49,GU25 4EJ,E07000212
"Loft & Daughter","Jewelry & related articles",0,YO17 8AX,E06000065
"ORESA","Management  consultant - for-profits",10-49,HG2 8ER,E06000065
"Better Nature","Food products",1-9,SW8 5EL,E09000032
"Maglabs","Software publishing and SaaS platforms",10-49,SE1 9EQ,E09000028
"Big Green Smile Ltd","Personal care products",10-49,HP7 0DB,E06000060
"Redroaster, restaurants & coffee","Food products",10-49,BN2 1RE,E06000043
"Havio","Management  consultant - for-profits",10-49,CR0 1QG,E09000008
"Oxford Summer Courses","Other education",10-49,OX1 2NA,E07000178
"SPEY Media Ltd","Advertising & market research",10-49,IV36 2AB,S12000020
"Grace & Green by Eco Hygiene Care Ltd","Personal care products",1-9,BS6 6BW,E06000023
"Talentia Group","Employment placement & HR",50-249,BS32 4JT,E06000025
"The Re-Pete Project Limited","Apparel",0,E1 3EX,E09000030
"GoCodeGreen","Other info service activities",1-9,N3 2JX,E09000003
"DeVono","Other professional, scientific & tech",10-49,EC1N 8UW,E09000007
"Ellers Farm Distillery","Beverages",10-49,YO41 1AR,E06000065
"MM-Eye Ltd","Advertising & market research",10-49,W1W 7LT,E09000033
"Clicky Media","Advertising & market research",10-49,CH1 1QE,E06000050
"learndirect Ltd (learndirect digital group Ltd)","Education & training services",50-249,BH1 1JN,E06000058
"383 Project Ltd","Computer programming services",50-249,W1W 5PF,E09000033
"Loah Drinks Ltd","Beverages",1-9,SW2 2QP,E09000022
"Platform","Real estate development",1-9,W1F9JE,E09000033
"Appetite for business ltd","Other info service activities",10-49,AB22 8GT,S12000033
"Luxury Cottages","Accommodation",10-49,B15 3ES,E08000025
"London Speech Workshop","Other education",10-49,W1W 7LT,E09000033
"Construction Carbon Ltd","Environmental consulting",1-9,SE1 7PB,E09000022
"Hewett Recruitment","Other professional, scientific & tech",10-49,DY10 1BN,E07000239
"Avery & Brown","Management  consultant - for-profits",1-9,GU9 7RX,E07000216
"Pitod","Apparel",0,NW7 1TG,E09000003
"Campbell Tickell Ltd","Management consultant - nonprofits",10-49,EC1R 4TD,E09000007
"Modo Energy Limited","Software publishing and SaaS platforms",10-49,NW1 2HD,E09000007
"Oakland","Management  consultant - for-profits",50-249,LS1 2AD,E08000035
"Hawkey Office Cleaning Ltd t/a Hawkey Cleaning & Support Services","Facilities & cleaning services",50-249,DA5 1LR,E09000004
"Moth Drinks Ltd","Beverages",10-49,W2 1BE,E09000033
"Greenmarket","Other personal services",0,HP16 0AL,E06000060
"azzur limited","Management  consultant - for-profits",0,SL1 7AH,E06000060
"Acacia Training","Education & training services",50-249,ST4 8GB,E06000021
"Entyce Creative","Spec design (non-building)",10-49,CH3 5DB,E06000050
"Fallow, Field and Mason public relations","Other info service activities",1-9,W12 7FR,E09000013
"We Are Family London","Other personal services",10-49,E2 8AA,E09000012
"True Travel","Travel agency & related",10-49,SW10 9PJ,E09000020
"Keartland & Co Limited","Management  consultant - for-profits",0,GU22 0EX,E07000217
"We Are Rival PBC","Management  consultant - for-profits",10-49,02460,
"Regency Creative","Other info service activities",10-49,W1B 3HH,E09000033
"The Garlic Farm","Food products",50-249,PO36 0NR,E06000046
"Climpson & Sons Ltd","Food products",10-49,E83SB,E09000012
"Estrella Ventures","Other professional, scientific & tech",10-49,BS1 6BX,E06000023
"Textile Mania","Textiles",1-9,HG2 8PB,E06000065
"Xeros Technology Group plc.","Scientific R&D",10-49,S60 5BL,E08000018
"Carbonbit","Environmental consulting",1-9,FY8 5FT,E07000119
"Manor Interiors MCR Ltd","Furniture",10-49,SK4 5BF,E08000007
"The Pickle House","Food products",1-9,IP14 4LE,E07000203
"The Salve Health Ltd","Other professional, scientific & tech",0,GL7 6EU,E07000079
"Joanie Ltd","Apparel",10-49,M12 6HS,E08000003
"Frontier Events","Other personal services",1-9,SE1 1TY,E09000028
"Progress Packaging Limited","Paper & paper products",1-9,HD8 8JQ,E08000034
"Tred","Other financial services",10-49,LS1 2BH,E08000035
"White Marble Consulting","Other professional, scientific & tech",10-49,EC2R 8EJ,E09000001
"Kimaï","Jewelry & related articles",1-9,W1U7QE,E09000033
"Oprl Ltd","Environmental consulting",1-9,OX16 1RH,E07000177
"Griddle","Food products",0,EC1N 2SW,E09000007
"Abatable","Environmental consulting",10-49,SE1 3ER,E09000028
"Albert Goodman","Accounting & auditing",250-999,TA1 2PX,E06000066
"STOIX Group Ltd","Employment placement & HR",1-9,AL3 5JU,E07000240
"Bramerton Condiments Ltd t/a Longbottom","Beverages",10-49,EC4A 4AB,E09000001
"Blacklock","Restaurants & food service",50-249,W1D 7LG,E09000033
"CAB PAYMENTS HOLDINGS PLC","Financial transaction processing",50-249,SM2 5AS,E09000029
"The Ad Plain Holdings Ltd","Advertising & market research",10-49,OX10 8BA,E07000179
"emc3 LTD","Advertising & market research",10-49,W12 7FR,E09000013
"Vaela Limited","Apparel",0,NW1 9JX,E09000007
"The Thinking Traveller Ltd.","Accommodation",50-249,E1 6QL,E09000030
"Fulkers Bailey Russell","Management consultant - nonprofits",50-249,SE1 7SJ,E09000022
"DEFY Brands","Advertising & market research",1-9,SW6 6TD,E09000013
"Make Limited","Architecture design & planning",50-249,W1T 4JY,E09000007
"Meetini Limited","Event catering & related",1-9,N154QL,E09000014
"Workhouse Creative Agency","Advertising & market research",10-49,PR3 3ZQ,E07000124
"Algbra Group Limited","Financial transaction processing",10-49,W1K 7PZ,E09000033
"Beinghuman Ltd.","Arts & entertainment",1-9,N16 7UU,E09000012
"Obelisk Legal Support Solutions Limited","Legal activities",10-49,WC2A 1AP,E09000001
"Sancroft","Management  consultant - for-profits",10-49,SW1H 9AP,E09000033
"enable recruitment","Other personal services",10-49,BS12NH,E06000023
"Pinstone","Other professional, scientific & tech",10-49,HR6 0LA,E06000019
"Koshy Associates Limited","Management  consultant - for-profits",0,NE4 9NR,E08000021
"COCO Chocolatier / UP-UP / OTHERLY","Food products",1-9,EH7 6UL,S12000036
"Aspire Leadership Ltd","Other professional, scientific & tech",10-49,WC1V 7QH,E09000001
"Functional Nutrition Group","Food products",10-49,S1 4SF,E08000019
"& SMITH LIMITED","Advertising & market research",1-9,EC1V 2NX,E09000019
"Sarsen Circle Holdings Ltd","Technology-based support services",10-49,W1G 0PW,E09000033
"Organico Realfoods Ltd","Food products",1-9,RG6 4UP,E06000041
"Real World Consultancy","Management  consultant - for-profits",1-9,WR4 9FP,E07000237
"Performance Lab Group Ltd","Food products",10-49,CV32 5QL,E07000222
"Island Drinks Limited (trading as NICE)","Beverages",10-49,SE11 5DP,E09000022
"1ovmany Ltd","Management  consultant - for-profits",10-49,EC2M 5QQ,E09000001
"Carma","Software publishing and SaaS platforms",1-9,M3 4AP,E08000003
"Optimo Business Limited","Management  consultant - for-profits",1-9,LS26 0NN,E08000035
"KCS Print LTD","Printing & recorded media",10-49,PL15 7ED,E06000052
"Munro Wilson Ltd","Other renewable energy installation",10-49,TD11 3HS,S12000026
"This is Jungle Limited","Other install & construction",0,EC2A 4NE,E09000012
"Wellworking Ltd","Furniture",10-49,W3 0BZ,E09000009
"Everything Seeds","General retail via Internet",0,GL50 1TA,E07000078
"Revolver Co-operative Limited","Beverages",1-9,WV2 3JA,E08000031
"Dial A Geek","Computers & electronics",1-9,BS3 4AL,E06000023
"Garden Studios","Film, TV & music production",10-49,NW10 7NU,E09000005
"Intelligent Growth Solutions Limited","Other manufacturing",50-249,EH38BL,S12000036
"Occupational Health Assessment Ltd","Other human health",1-9,GU2 7YG,E07000209
"London Law Collective","Legal activities",1-9,W1T 3JW,E09000033
"Minster FB","Advertising & market research",10-49,NG25 0LG,E07000175
"Webgains","Other info service activities",50-249,BS1 3AE,E06000023
"Brompton Bicycle Limited","Other transport equipment",250-999,UB6 0FD,E09000009
"Here I Am Studio","Mobile applications",1-9,BS6 6DJ,E06000023
"The Anglesey Sea Salt Company","Food products",10-49,LL61 6TQ,W06000001
"Bicycle London Limited","Advertising & market research",10-49,EC1V 4PA,E09000019
"Taxi Studio Limited","Advertising & market research",10-49,BS4 3AP,E06000023
"Tomorrow Recruitment Limited","Other professional, scientific & tech",10-49,EC2A 4PS,E09000012
"Klere Ltd","Environmental consulting",1-9,W1J 8DZ,E09000033
"Syzygy Renewables Ltd (Trading as Syzygy Consulting)","Other renewable energy installation",10-49,SE1 3LA,E09000028
"Liven Creative","Advertising & market research",1-9,GU21 4PQ,E07000217
"Hymans Robertson LLP","Pension/retirement plans",1000+,EC2Y 5EA,E09000001
"Sonder & Tell","Advertising & market research",10-49,EC1R 0NE,E09000019
"Academy of Executive Coaching Ltd","Education & training services",10-49,AL1 4DL,E07000240
"arken POP International Ltd","Other manufacturing",50-249,CB8 7EA,E07000245
"Endaba Ltd","Employment placement & HR",10-49,W1W 5PF,E09000033
"Marshfield Farm Ice Cream","Food products",50-249,SN14 8LE,E06000025
"Hunter & Gather","Food products",1-9,RM16 6EW,E06000034
"Business Design Centre","Other professional, scientific & tech",10-49,N1 0QH,E09000019
"Brevity Marketing","Advertising & market research",1-9,RG25 2HX,E07000084
"Lead Powerful Impact Ltd.","Management  consultant - for-profits",0,G41 2EH,S12000049
"Joelson LLP","Legal activities",50-249,NW1 4DF,E09000007
"Rawside","Furniture",10-49,SO24 0EF,E07000085
"Launch Online Ltd","Advertising & market research",10-49,EX1 2JY,E07000041
"Wildfire PR Limited t/a Wildfire","Advertising & market research",10-49,KT2 5BB,E09000021
"Ellis Wharton Wines Ltd","Beverages",1-9,TR9 6FZ,E06000052
"Better Society Capital","Investment advising",50-249,EC4A 1AZ,E09000001
"Global Vision Direct Ltd","Wood & wood products",50-249,SW1P2BQ,E09000033
"Rezon","Sports goods",0,DH9 7XN,E06000047
"Bemuse Limited","Beverages",1-9,SW1Y 6LX,E09000033
"Moorhouse Consulting","Management  consultant - for-profits",250-999,EC2M 1QS,E09000001
"Stirred","Advertising & market research",1-9,TN223BD,E07000065
"Niche Health and Social Care Consulting","Management consultant - nonprofits",10-49,M32 0RS,E08000009
"Totum Partners","Other professional, scientific & tech",10-49,EC2V 5BR,E09000001
"Fraction Drinks Ltd","Beverages",1-9,EC1V 2NX,E09000019
"First Class Comms","Telecommunications",1-9,BS22 8NG,E06000024
"Barley Communications Limited","Other info service activities",10-49,WC2H 9JQ,E09000007
"Agulhas Applied Knowledge","Other professional, scientific & tech",10-49,N1 5PH,E09000012
"Growth Animals","Advertising & market research",1-9,BN16 2UB,E07000224
"Elliott Wood Partnership Ltd","Engineering",50-249,SW19 1SD,E09000024
"Coventry Building Society","Deposit bank - Developed Markets",1000+,CV3 2UN,E08000026
"Otiumberg","Jewelry & related articles",1-9,SE10HS,E09000028
"Country & Town House","Publishing - newspapers & magazines",10-49,SW6 4QL,E09000013
"BBD Perfect Storm (London) Ltd","Advertising & market research",10-49,EC1Y 1HQ,E09000019
"Efeca","Environmental consulting",1-9,BH8 8EZ,E06000058
"SIDEKICK GROUP LTD","Facilities & cleaning services",250-999,E14 5EU,E09000030
"Phastar","Scientific R&D",250-999,W4 5LE,E09000009
"4Couture","Apparel",1-9,BH24 1SF,E07000091
"Climate17","Employment placement & HR",10-49,BH12 5DL,E06000058
"GrowGrows","Apparel",1-9,M3 4JH,E08000003
"Coaching Focus Limited","Management  consultant - for-profits",10-49,EX2 5TU,E07000041
"Morelli Consulting Ltd.","Management  consultant - for-profits",1-9,PO20 7FD,E07000225
"Allwag Promotions Ltd","Other/general wholesale trade",10-49,CM32DP,E07000067
"GingerMay","Advertising & market research",10-49,TN2 5TE,E07000116
"Gilda & Pearl","Apparel",1-9,E1 6QR,E09000030
"Fountain Partnership Ltd","Advertising & market research",10-49,NR1 3NX,E07000148
"Magnus Consulting","Management  consultant - for-profits",1-9,SO51 9DG,E07000093
"Huel Limited","Food products",50-249,HP23 4RN,E07000096
"Sophia High School","Other education",10-49,SW3 3BS,E09000020
"Trinnovo Group","Other professional, scientific & tech",50-249,EC1M 4BS,E09000019
"Made for the World","Other professional, scientific & tech",1-9,DY7 6EB,E07000196
"Just Williams","Other professional, scientific & tech",1-9,TS18 2NB,E06000004
"Golden Acre Foods","Food products",50-249,KT16 8AP,E07000212
"EMW Law LLP","Legal activities",50-249,MK5 8FR,E06000042
"Monty's Bakehouse UK Ltd","Food products",10-49,RH1 4EJ,E07000215
"Sutsu (Trading Name of Wall of Design)","Apparel",1-9,WC2H 9JQ,E09000007
"Seeds of Colour","Personal care products",1-9,EC1M 6EH,E09000019
"AG Communications Ltd","Management  consultant - for-profits",1-9,SK10 4TG,E06000049
"CHILLY'S","Fabricated metal products",10-49,EC2A 3EJ,E09000012
"11 Investments","Employment placement & HR",50-249,W1B5DF,E09000033
"Citadel Financial Solutions Ltd","Investment advising",1-9,EX14 1XH,E07000040
"Tilda Ltd","Agricultural Processing",250-999,RM13 9YQ,E09000016
"The Agency Collective Ltd","Other professional, scientific & tech",1-9,SP10 5RG,E07000093
"BX Technologies Limited","Other info service activities",10-49,SE1 9RS,E09000028
"Treveth","Real estate development",10-49,TR1 1XU,E06000052
"Kaluza","Other renewable energy installation",250-999,W113JS,E09000020
"eKal Solutions Ltd","Software publishing and SaaS platforms",1-9,CW6 0PG,E06000050
"Love Cocoa Ltd","Food products",10-49,N7 7BL,E09000019
"Stourgarden LTD","Agricultural Processing",250-999,CO6 4AP,E07000071
"The PR Network","Other professional, scientific & tech",1-9,W1K 1QW,E09000033
"Native Ecology LLP","Environmental consulting",1-9,ME13 9EH,E07000113
"saintnicks","Advertising & market research",10-49,BS1 6QA,E06000023
"Progeny Group","Other financial services",50-249,LS1 4DL,E08000035
"inBeta","Other professional, scientific & tech",1-9,RG9 2LT,E06000041
"Archus","Management  consultant - for-profits",50-249,BS1 6PU,E06000023
"Enovation Consulting","Management  consultant - for-profits",1-9,Nn12 8GX,E06000062
"Lock Studios","Film, TV & music production",10-49,N1 5SB,E09000012
"Sigma Labs XYZ Ltd","Other professional, scientific & tech",1-9,N1 7GU,E09000012
"Raconteur Media Ltd","Other publishing activities",50-249,EC3N 1LJ,E09000001
"Creature & Co.","Books or other media",10-49,W1U 5JU,E09000033
"Natural Paint UK Limited","Chemicals & chemical products",10-49,HR6 9HW,E06000019
"shedkm","Architecture design & planning",10-49,L2 2DT,E08000012
"Innatus Digital Ltd","Other info service activities",1-9,ta1 2pl,E06000066
"Cynozure Group Ltd","Management  consultant - for-profits",10-49,AL3 5BH,E07000240
"Digitom Video Production","Advertising & market research",0,TN1 1LS,E07000116
"Rumpus","Advertising & market research",1-9,wa141hg,E08000009
"Secret Linen Store","Textiles",10-49,PO22 9FE,E07000224
"Purpose Union","Other professional, scientific & tech",10-49,E1 1EJ,E09000030
"Digital Wonderlab","Software publishing and SaaS platforms",10-49,BA151AB,E06000054
"Bonomini","Hairdressing & other beauty services",10-49,BS8 2HY,E06000023
"Simplelifeco UK LTD","General retail via Internet",0,NP11 5EY,W06000018
"Faith in Nature","Personal care products",50-249,M26 4AF,E08000002
"JonesMillbank","Film, TV & music production",10-49,BS1 6QA,E06000023
"Audley Travel","Travel agency & related",250-999,OX29 9SX,E07000181
"Recruit UK","Management  consultant - for-profits",10-49,BS1 1LT,E06000023
"Innocent Health Limited","Food products",1-9,SW10 0BB,E09000020
"OKA Direct Ltd","Furniture",250-999,OX11 7BF,E07000180
"Huckletree Ltd","Membership organizations",50-249,EC2A1AH,E09000019
"Packfleet","Postal & courier activities",50-249,SE16 3DH,E09000028
"Space Made Group Limited","Real estate- fee/contract",10-49,WC2R 1AT,E09000033
"Zest","Other install & construction",50-249,LS2 7HZ,E08000035
"Black Bee Honey","Food products",1-9,BA4 5BY,E06000066
"Vinny","Food products",1-9,NW8 0HJ,E09000007
"Alfred","Social networks & info sharing",10-49,EC1V 1JN,E09000012
"IT Naturally","Other info service activities",10-49,PE2 6FY,E06000031
"Crumbs Brewing","Beverages",0,RH2 7HD,E07000211
"Reuseabox Ltd","Paper & paper products",10-49,NG23 5HT,E07000141
"Mobilise Care Ltd","Technology-based support services",10-49,N1 7SR,E09000012
"The Behaviours Agency","Advertising & market research",10-49,M5 3EQ,E08000006
"Usertopia","Other info service activities",0,BH11JN,E06000058
"YuLife","Other insurance services",250-999,EC1Y 8RQ,E09000019
"G . F Smith","Paper & paper products",50-249,HU2 0HL,E06000010
"TRUSTB Ltd","Management  consultant - for-profits",1-9,TR8 5LP,E06000052
"Employee Volunteering Group Limited","Other personal services",10-49,RG291LF,E07000089
"Colart","Chemicals & chemical products",250-999,W12 7FP,E09000013
"Activate Management","Other recreation",10-49,B496HW,E07000221
"BaseKit Platform Ltd.","Software publishing and SaaS platforms",10-49,BS2 0JA,E06000023
"Ryan Webb Consultancy Limited","Management  consultant - for-profits",0,SN14 0LL,E06000054
"EFFABLE","Advertising & market research",0,st13jd,E06000021
"Trainspotters Ltd","Electrical equipment",1-9,GL5 1RN,E07000082
"Anna Mcloughlin Fine Jewellery","Jewelry & related articles",0,GL15 6AT,E07000080
"BLOK","Athletic & fitness centers",10-49,E5 8BQ,E09000012
"Northtree Investment Management Ltd","Real estate - leased property",1-9,W1T 3JH,E09000033
"Makers Academy","Education & training services",50-249,EC2A 4HJ,E09000012
"Morrama Ltd","Other professional, scientific & tech",10-49,E84QS,E09000012
"CLOWD 9 Ltd","Software publishing and SaaS platforms",10-49,EC4R 0AA,E09000001
"Notpla","Other manufacturing",50-249,E9 5EN,E09000030
"Rareloop","Computer programming services",10-49,SO14 5FE,E06000045
"Kinectid","Other renewable energy installation",1-9,N18 3QT,E09000010
"Diagnostics360","Diagnostic services",1-9,W45PY,E09000018
"Winncare UK","Medical & dental supplies",50-249,LD8 2UF,W06000023
"ROKA London Ltd","Other/general wholesale trade",1-9,N3 1PA,E09000003
"Dall Cleaning Services","Facilities & cleaning services",50-249,TW13 7LU,E09000018
"Navygrey","Apparel",1-9,SW18 4GQ,E09000032
"Aristar Financial Consulting Ltd","Other financial services",10-49,GU1 3JF,E07000209
"Boaz Studio Interior Design","Spec design (non-building)",1-9,TR1 2ES,E06000052
"EBI Portfolios Limited","Investment advising",10-49,WS9 8TZ,E08000030
"ThermaFY Group","Environmental consulting",10-49,TD5 7JD,S12000026
"Risk & Policy Analysts","Other professional, scientific & tech",10-49,NR3 1AB,E07000148
"Touchstone Advisory Limited","Other professional, scientific & tech",10-49,B3 1RL,E08000025
"Duel (Duel Holdings Limited)","Software publishing and SaaS platforms",10-49,EC3V 9AH,E09000001
"Millrace Marketing","Advertising & market research",1-9,CF14 5DU,W06000015
"The Ethical Butcher","Food products",1-9,HA0 4LW,E09000005
"OLPRO Ltd","General retail via Internet",10-49,WR6 6LG,E07000235
"Imbiba","Equity investing - Developed Markets",10-49,WC2E 9JY,E09000033
"Sykes Cottages Ltd","Accommodation",250-999,CH1 3BQ,E06000050
"Commonplace Digital Ltd.","Software publishing and SaaS platforms",10-49,M3 2LG,E08000003
"The Onlii Limited","Advertising & market research",1-9,LS2 9NG,E08000035
"Beyond Encryption Limited","Software publishing and SaaS platforms",10-49,PO15 5SH,E07000087
"First Mile Limited","Waste collection",250-999,W1T 3QE,E09000033
"Kinda Co.","Food products",1-9,BS24 8EF,E06000024
"Forest Holidays","Accommodation",250-999,DE12 6BA,E07000134
"Inside Travel Group Limited","Travel agency & related",50-249,BS1 4TD,E06000023
"Boldspace","Advertising & market research",10-49,W1D 3QX,E09000033
"Your Eco Construction Ltd","Solar panel installation",10-49,BA11 1HR,E06000066
"The MBS Group","Management  consultant - for-profits",10-49,NW1 8YW,E09000007
"Caleño Drinks","Beverages",10-49,BS4 3AP,E06000023
"Johnstons of Elgin","Textiles",250-999,IV30 4AF,S12000020
"Reclaim Yourself Retreats Ltd","Travel agency & related",0,N4 3RW,E09000014
"KaurMaxwell Ltd","Legal activities",10-49,EC4M 7AN,E09000001
"Conscious Communications","Other professional, scientific & tech",10-49,CB4 0WS,E07000008
"Henry Nicholas Associates Limited","Employment placement & HR",1-9,BS1 6BX,E06000023
"MSQ Partners","Advertising & market research",250-999,WC2E 7AU,E09000033
"LEDA","Architecture design & planning",1-9,LS9 0DG,E08000035
"Little Red Rooster","Advertising & market research",10-49,RG109AJ,E06000041
"Par Equity","Equity investing - Developed Markets",10-49,EH3 6NW,S12000036
"BV Brands Ltd (T/A Stubble & Co)","Apparel",1-9,GU10 3LJ,E07000216
"Pensions for Purpose Limited","Membership organizations",1-9,MK5 8HJ,E06000042
"Cambridge & Counties Bank Limited","Deposit bank - Developed Markets",50-249,LE1 6TE,E06000016
"Burland Technology Solutions Limited","Electrical equipment",10-49,IP6 0LW,E07000203
"Betteridge & Milsom","Other professional, scientific & tech",10-49,CT1 1TU,E07000106
"WUKA","Personal care products",10-49,AL3 4DA,E07000240
"Ten Lifestyle Group Plc","Other personal services",250-999,NW1 3AL,E09000007
"Footprint Digital","Advertising & market research",10-49,CO11NX,E07000071
"PACT Dogs Ltd","Membership organizations",0,SO24 9QH,E07000094
"Travel Places (WS) Ltd","Travel agency & related",50-249,BN11 1HR,E07000229
"Uncommon","Other business support",10-49,SE1 4PG,E09000028
"Hayne House","Other recreation",1-9,CT21 4EH,E07000112
"Twist Health Ltd","Technology-based support services",1-9,SO23 9EH,E07000094
"Bio&Me","Food products",10-49,CH1 1SL,E06000050
"Substance Group Ltd (trading as SBTRCT Skincare)","Personal care products",0,SG4 9QZ,E07000099
"Nature & Nurture; Baby-Vits Ltd","Food products",0,BL8 3PL,E08000002
"Forge","Advertising & market research",10-49,EC2A 4NU,E09000012
"Knowledge & Merchandising Inc. Limited","Personal care products",50-249,WC2B 6ST,E09000007
"Dropless Ltd.","Other personal services",50-249,SW4 6DH,E09000022
"Red Paddle Co","Sports goods",10-49,TQ97LQ,E07000044
"Kuflink Group Plc","Other financial services",10-49,DA11 0BF,E07000109
"Curtis Packaging","Printing & recorded media",50-249,RH1 3DR,E07000211
"I am Kooky","Food products",0,NW5 1RD,E09000007
"Adopter","Advertising & market research",0,DH1 5TS,E06000047
"Sowvital Ltd","Chemicals & chemical products",1-9,EC4A 4AB,E09000001
